X,Y,CUSTOMER_ID,PRODUCTTYPE_ID,CURRENCY_ISO,CUSTOMER_SEGMENT,YIELD,DAYS_TO_MATURITY,AMOUNT_CHF(000),FULLNAME,TRADE_DATE,INDEX
REAL,REAL,STRING,STRING,STRING,STRING,REAL,INT,INT,STRING,DATE,STRING
7.68573749,-8.551567,21,276,AUD,AAA,7.224,1002,250,AUD Eurobonds Secondary,01/02/1996,T00001
7.51999521,-8.6964572,21,276,AUD,AAA,7.266,1044,227,AUD Eurobonds Secondary,01/02/1996,T00002
7.49346291,-8.7835013,21,276,AUD,AAA,7.266,1044,227,AUD Eurobonds Secondary,01/02/1996,T00003
7.33578662,-9.168513,21,276,AUD,AAA,7.428,1068,227,AUD Eurobonds Secondary,01/02/1996,T00004
7.92332236,-4.4869782,53,156,CAD,AAA,6.169,981,176,CAD Eurobonds Secondary,01/02/1996,T00005
7.54587825,-4.1407836,12,156,CAD,AAA,5.926,1072,114,CAD Eurobonds Secondary,01/02/1996,T00006
9.24267681,10.9977583,1,2,CHF,AAA,2.052,318,3000,CHF Domestic  Bond Secondary,01/02/1996,T00007
11.7153175,5.81432222,96,2,CHF,BBB,3.796,370,275,CHF Domestic  Bond Secondary,01/02/1996,T00008
9.47337213,6.21784971,96,2,CHF,BBB,3.547,594,110,CHF Domestic  Bond Secondary,01/02/1996,T00009
5.46246826,6.56690307,13,2,CHF,AAA,2.653,1100,500,CHF Domestic  Bond Secondary,01/02/1996,T00010
2.17884015,5.89588208,361,2,CHF,CCC,3.623,1702,100,CHF Domestic  Bond Secondary,01/02/1996,T00011
1.20632675,3.87790565,21,2,CHF,AAA,3.554,1841,100,CHF Domestic  Bond Secondary,01/02/1996,T00012
-0.3839602,3.44191014,55,2,CHF,AAA,3.89,2045,1300,CHF Domestic  Bond Secondary,01/02/1996,T00013
-1.5232496,5.42951462,96,2,CHF,BBB,3.796,2206,500,CHF Domestic  Bond Secondary,01/02/1996,T00014
-8.5371151,11.091578,10,2,CHF,AAA,3.956,2471,10000,CHF Domestic  Bond Secondary,01/02/1996,T00015
-4.21017,4.47227871,361,2,CHF,CCC,4.579,2581,100,CHF Domestic  Bond Secondary,01/02/1996,T00016
-4.2154588,4.69189146,361,2,CHF,CCC,4.204,2609,50,CHF Domestic  Bond Secondary,01/02/1996,T00017
-6.8195539,4.9315667,224,2,CHF,DDD,4.218,2904,500,CHF Domestic  Bond Secondary,01/02/1996,T00018
-11.539627,4.99282253,338,2,CHF,DDD,4.282,3602,500,CHF Domestic  Bond Secondary,01/02/1996,T00019
-11.93917,5.63377483,224,2,CHF,DDD,4.307,3602,1000,CHF Domestic  Bond Secondary,01/02/1996,T00020
-26.268081,21.1808,135,5,CHF,EEE,4.383,1817,20000,CHF European Government,01/02/1996,T00021
-24.854317,15.3073427,10,5,CHF,AAA,4.409,1817,20000,CHF European Government,01/02/1996,T00022
